Food id,Food name,Cuisine name,Calories (in kcal),Fat(in g),Carbohydrates(in g),Protein(in g),Sodium(in mg),Meal type,Veg non veg,Expected price
7,Peppers and Cheese Börek,Bírek,163,9.7,12.6,7.7,324,Appetizers,V,120
8,Potato and Onion Börek,Bírek,143,7,17,3,270,Snacks,V,70
9,Meat Börek,Bírek,141,6.9,13.2,8.8,278,Appetizers,NV,250
10,Spicy Spinach and Cheese Börek,Bírek,136,8.8,7.7,6.3,335,Appetizers,V,100
11,Ground Meat and Potato Börek,Bírek,119,4.3,15.3,4.7,280,Snacks,NV,180
12,Feta Cheese and Parsley Börek,Bírek,113,6.2,8.7,5.8,343,Appetizers,V,100
13,Minced Meat Börek,Bírek,98,3.7,8.8,6.9,187,Appetizers,NV,200
14,Spinach and Cheese Börek,Bírek,82,3.5,9.5,3.3,180,Appetizers,V,100
15,Green Lentil Börek,Bírek,71,1,11,4,283,Snacks,V,50
1,Samosa,Pakistani,262,17.0,23.0,4.9,225,Pakistani,NV,15
2,Haleem,Pakistani,167,3.4,27.2,7.2,27,Pakistani,NV,100
3,Nihari,Pakistani,340,25.8,5.6,21.6,200,Pakistani,NV,250
4,Tikka Masala,Pakistani,173,8.8,11.7,12.3,30,Pakistani,NV,350
5,Kebab Roll,Pakistani,183,12.0,10.0,9.0,200,Pakistani,NV,150
6,Chaat,Pakistani,100,3.0,15.0,2.0,200,Pakistani,V,50
7,Pakora,Pakistani,200,10.0,20.0,2.0,50,Pakistani,V,60
8,Biryani,Pakistani,233,10.0,28.0,7.0,100,Pakistani,NV,200
9,Halwa Poori,Pakistani,344,15.4,42.3,7.1,177,Pakistani,V,80
10,Shawarma,Pakistani,289,14.0,23.0,18.0,720,Pakistani,NV,200
11,Chapli Kebab,Pakistani,239,15.7,5.5,17.0,520,Pakistani,NV,150
12,Paye,Pakistani,90,3.0,3.0,13.0,15,Pakistani,NV,150
13,Chana Chaat,Pakistani,200,7.5,25.0,7.5,150,Pakistani,V,70
14,Aloo Gobi,Pakistani,120,7.6,12.6,2.6,240,Pakistani,V,120
15,Tandoori Chicken,Pakistani,165,8.9,0.0,18.7,127,Pakistani,NV,350
WC001,Pizza,World Cuisine,267,10.7,33.2,11.9,565,Wheat based,NV,300
WC002,Sushi,World Cuisine,129,0.5,25.5,3.3,360,Seafood based,NV,500
WC003,Paella,World Cuisine,186,4.4,27.4,8.7,536,Rice based,NV,700
WC004,Chicken Tikka Masala,World Cuisine,190,10,15,10,600,Meat based,NV,400
WC005,Peking Duck,World Cuisine,337,23,0,30,460,Meat based,NV,1200
WC006,Chimichangas,World Cuisine,301,15.4,26.3,13,497,Wheat based,NV,450
WC007,Chicken Pad Thai,World Cuisine,180,5.5,28,7,592,Rice based,NV,350
WC008,Beef Bourguignon,World Cuisine,156,6.2,6.7,18,97,Meat based,NV,900
WC009,Falafel,World Cuisine,333,14.7,41,14.5,350,Wheat based,V,200
WC010,Lasagna,World Cuisine,133,5.2,15.5,7.5,330,Wheat based,NV,350
WC011,Samosas,World Cuisine,298,16.4,28.4,7.3,473,Wheat based,NV,150
WC012,Pho,World Cuisine,17,0.1,3.6,0.9,23,Rice based,NV,250
WC013,Ratatouille,World Cuisine,57,2.2,8.7,1.8,50,Vegetable based,V,300
WC014,Hummus,World Cuisine,177,10.3,16.2,4.8,238,Milk based,V,150
WC015,Beef Stroganoff,World Cuisine,173,9,7,17,350,Meat based,NV,800
CC001,Avocado Toast,Contemporary,246,16.5,16.5,7,230,Wheat based,V,250
CC002,Quinoa Salad,Contemporary,120,2,20,5,10,Salad based,V,300
CC003,Grilled Salmon,Contemporary,206,8,0,30,50,Seafood based,NV,600
CC004,Vegan Burger,Contemporary,301,16,23,15,400,Wheat based,V,400
CC005,Chicken Caesar Salad,Contemporary,215,13,7,17,540,Salad based,NV,350
CC006,Buddha Bowl,Contemporary,209,11.4,23.7,6,173,Vegetable based,V,400
CC007,Baked Sweet Potato,Contemporary,103,0.2,23.6,1.6,41,Vegetable based,V,150
CC008,Shakshuka,Contemporary,123,9,4,6,200,Milk based,V,200
CC009,Smoked Salmon Bagel,Contemporary,248,11,24,13,551,Wheat based,NV,350
CC010,Cauliflower Fried Rice,Contemporary,111,3.7,17,3.3,378,Rice based,V,200
CC011,Grilled Chicken Wrap,Contemporary,208,7.8,22.3,12,438,Wheat based,NV,250
CC012,Spinach and Feta Omelette,Contemporary,121,8,2,10,452,Milk based,V,150
CC013,Tofu Stir Fry,Contemporary,111,7,5,8,271,Meat based,V,300
CC014,Beetroot and Feta Salad,Contemporary,146,8.4,10.8,7.4,331,Salad based,V,250
CC015,Green Smoothie Bowl,Contemporary,104,1.8,20.2,2.9,44,Fruits,V,200
CH001,Hot and Sour Soup,Chinese,25,0.4,4.4,1.4,927,Meat based,V,150
CH002,Steamed Dumplings,Chinese,218,5.7,33.6,7.7,480,Wheat based,NV,250
CH003,Kung Pao Chicken,Chinese,128,8.2,7.2,6.8,588,Meat based,NV,400
CH004,Mapo Tofu,Chinese,124,9,4,6,419,Vegetable based,V,200
CH005,Beef Chow Fun,Chinese,181,7,18,11,664,Rice based,NV,350
CH006,General Tso's Chicken,Chinese,283,10.3,27.3,20.3,575,Meat based,NV,500
CH007,Wonton Soup,Chinese,62,1,9,3,315,Meat based,NV,200
CH008,Egg Fried Rice,Chinese,167,4,28,4,238,Rice based,V,150
CH009,Moo Shu Pork,Chinese,282,11,29,16,1295,Meat based,NV,400
CH010,Shrimp Lo Mein,Chinese,204,5,26,13,703,Wheat based,NV,300
CH011,Stir-Fried Green Beans,Chinese,87,3,8,3,143,Vegetable based,V,150
CH012,Hot Pot,Chinese,238,14,7,21,1300,Meat based,NV,800
CH013,Mongolian Beef,Chinese,248,11.5,5,28.5,806,Meat based,NV,500
CH014,Kung Pao Shrimp,Chinese,128,8.2,7.2,6.8,588,Seafood based,NV,400
CH015,Dim Sum,Chinese,81,4.4,7.4,3.4,316,Wheat based,NV,250
VEG001,Palak Paneer,Vegetarian,107,8,7,5,375,Vegetable based,V,200
VEG002,Chana Masala,Vegetarian,95,2,18,3,259,Legume based,V,150
VEG003,Aloo Gobi,Vegetarian,118,7,12,3,284,Vegetable based,V,180
VEG004,Paneer Tikka Masala,Vegetarian,283,21,13,12,469,Dairy based,V,350
VEG005,Baingan Bharta,Vegetarian,102,6,8,2,356,Vegetable based,V,170
VEG006,Mushroom Tikka Masala,Vegetarian,152,9,9,9,368,Mushroom based,V,250
VEG007,Chhole Bhature,Vegetarian,452,20,57,10,695,Wheat based,V,300
VEG008,Dal Makhani,Vegetarian,106,5,12,4,308,Legume based,V,180
VEG009,Navratan Korma,Vegetarian,172,10,14,4,402,Vegetable based,V,220
VEG010,Paneer Butter Masala,Vegetarian,235,14,12,12,322,Dairy based,V,280
VEG011,Mattar Paneer,Vegetarian,118,8,6,6,345,Vegetable based,V,190
VEG012,Vegetable Biryani,Vegetarian,175,3,33,3,345,Rice based,V,250
VEG013,Palak Tofu,Vegetarian,63,4,3,5,144,Vegetable based,V,180
VEG014,Veg Manchurian,Vegetarian,150,8,16,4,414,Wheat based,V,200
VEG015,Aloo Paratha,Vegetarian,238,10,33,5,456,Wheat based,V,150
KEB001,Chicken Shish Kebab,Kebab,110,2.1,0.5,23.7,160,Meat based,NV,350
KEB002,Adana Kebab,Kebab,135,7.6,0.8,14.2,164,Meat based,NV,300
KEB003,Lamb Shish Kebab,Kebab,120,2.9,0.2,26.1,170,Meat based,NV,400
KEB004,Chicken Doner Kebab,Kebab,215,14,11,12,697,Meat based,NV,250
KEB005,Beef Doner Kebab,Kebab,250,19,7,12,635,Meat based,NV,300
KEB006,Lamb Doner Kebab,Kebab,250,18,7,12,700,Meat based,NV,350
KEB007,Falafel Kebab,Kebab,234,15,13,9.6,625,Legume based,V,200
KEB008,Veg Seekh Kebab,Kebab,140,8,12,5,350,Vegetable based,V,180
KEB009,Hariyali Paneer Kebab,Kebab,226,15,14,8,420,Dairy based,V,250
KEB010,Mushroom Tikka Kebab,Kebab,111,5.5,12.8,5.5,232,Mushroom based,V,180
KEB011,Paneer Tikka Kebab,Kebab,182,12,5,15,308,Dairy based,V,280
KEB012,Tandoori Chicken,Kebab,165,3.6,0.8,29,408,Meat based,NV,320
KEB013,Hariyali Chicken Kebab,Kebab,132,6.9,0.6,16.8,316,Meat based,NV,350
KEB014,Fish Tikka Kebab,Kebab,129,7.3,3.7,13.4,180,Sea food based,NV,280
KEB015,Prawn Tikka Kebab,Kebab,156,8.2,5.5,14.2,211,Sea food based,NV,350
ITA001,Pizza Margherita,Italian,266,9.4,36.7,9.4,482,Wheat based,V,300
ITA002,Lasagne,Italian,141,6.7,9.5,9.9,202,Wheat based,NV,350
ITA003,Spaghetti Carbonara,Italian,371,19,34,16,719,Wheat based,NV,400
ITA004,Pesto Pasta,Italian,335,26,9.3,12,494,Wheat based,V,350
ITA005,Panzenella Salad,Italian,172,9.6,13.6,6.1,305,Salad based,V,250
ITA006,Risotto,Italian,97,1.5,19,2.5,290,Rice based,V,300
ITA007,Bruschetta,Italian,174,10,16,4,243,Wheat based,V,180
ITA008,Minestrone Soup,Italian,46,0.8,8.3,1.6,235,Vegetable based,V,200
ITA009,Osso Bucco,Italian,342,19,7.6,34,200,Meat based,NV,600
ITA010,Chicken Parmigiana,Italian,404,24,8,39,739,Meat based,NV,450
ITA011,Calzone,Italian,238,7.8,32,12,510,Wheat based,NV,350
ITA012,Tiramisu,Italian,240,13,26,4,47,Milk based,V,150
ITA013,Panna Cotta,Italian,177,10,18,3,53,Milk based,V,180
ITA014,Arancini,Italian,280,14,32,9,460,Rice based,V,250
ITA015,Italian Gelato,Italian,219,11,22,5,77,Milk based,V,150
MDE001,Hummus,Middle Eastern,166,9.6,14,5.2,490,Dip,V,150
MDE002,Baba Ghanoush,Middle Eastern,160,14,8,2,400,Dip,V,150
MDE003,Falafel,Middle Eastern,323,18,32,13,622,Chickpea based,V,200
MDE004,Shawarma,Middle Eastern,360,25,9,26,972,Meat based,NV,250
MDE005,Mansaf,Middle Eastern,581,30,56,31,926,Meat based,NV,500
MDE006,Tabbouleh,Middle Eastern,80,3,12,3,20,Salad based,V,150
MDE007,Labneh,Middle Eastern,116,10,4.4,2.2,32,Dairy based,V,200
MDE008,Fatteh,Middle Eastern,330,22,23,11,670,Chickpea based,V,250
MDE009,Manakish,Middle Eastern,272,8.6,38,9.6,210,Bread based,V,200
MDE010,Muhammara,Middle Eastern,150,12,10,2,330,Dip,V,180
MDE011,Maqluba,Middle Eastern,345,17,28,19,720,Rice based,NV,300
MDE012,Shakshuka,Middle Eastern,128,9,5,6,320,Egg based,V,200
MDE013,Kibbeh,Middle Eastern,343,18,30,16,331,Meat based,NV,250
MDE014,Fried Halloumi,Middle Eastern,316,25,2.2,22,985,Cheese based,V,250
MDE015,Baklava,Middle Eastern,200,10,26,3,97,Pastry based,V,150
CAN001,Poutine,Canadian,250,12,30,10,700,Fast food,NV,250
CAN002,Tourtiere,Canadian,309,19,20,17,321,Meat pie,NV,400
CAN003,Butter tarts,Canadian,250,14,29,2,70,Pastry based,V,150
CAN004,Bison burger,Canadian,220,9,17,20,350,Burger,NV,350
CAN005,BeaverTails,Canadian,370,10,63,6,490,Pastry based,V,250
CAN006,Kraft Dinner,Canadian,230,3,47,7,530,Fast food,V,100
CAN007,Timbits,Canadian,70,3,11,1,45,Pastry based,V,50
CAN008,Peameal bacon,Canadian,214,13,1,22,758,Bacon,NV,300
CAN009,Montreal-style smoked meat,Canadian,186,12,3,16,693,Meat,NV,400
CAN010,Maple taffy,Canadian,150,0,38,0,5,Candy,V,100
CAN011,Split pea soup,Canadian,82,1,15,5,294,Soup,V,150
CAN012,Tourtière,Canadian,200,7,16,16,625,Meat pie,NV,350
CAN013,Nanaimo bar,Canadian,235,13,29,2,110,Pastry based,V,150
CAN014,Salmon jerky,Canadian,310,6,35,32,900,Seafood,NV,400
CAN015,Wild blueberry pie,Canadian,310,16,40,3,207,Pie,V,400
USA001,Hamburger,American,250,12,30,10,700,Burger,NV,350
USA002,Hot Dog,American,180,15,5,6,600,Fast food,NV,200
USA003,Buffalo wings,American,430,24,5,46,1620,Appetizer,NV,450
USA004,Macaroni and cheese,American,330,13,40,12,780,Pasta,V,250
USA005,Clam chowder,American,150,7,14,8,410,Soup,NV,300
USA006,Barbecue ribs,American,520,34,10,40,990,Meat,NV,500
USA007,Fried chicken,American,310,15,16,28,820,Meat,NV,350
USA008,Philly cheesesteak,American,410,23,34,19,1020,Sandwich,NV,400
USA009,Chicago-style deep dish pizza,American,320,16,32,15,760,Pizza,NV,500
USA010,Caesar salad,American,190,17,6,5,430,Salad,V,200
USA011,Pancakes,American,233,10,28,6,470,Breakfast,V,150
USA012,Donuts,American,452,23,51,5,326,Pastry based,V,100
USA013,Chili con carne,American,173,6,13,17,620,Meat,NV,300
USA014,Grilled cheese sandwich,American,330,17,27,15,740,Sandwich,V,200
USA015,Key lime pie,American,330,15,41,6,160,Pie,V,350
BIR001,Veg Biryani,Biryani,280,10,30,10,600,Rice based,V,200
BIR002,Chicken Biryani,Biryani,410,18,35,20,800,Rice based,NV,350
BIR003,Mutton Biryani,Biryani,480,25,40,22,900,Rice based,NV,400
BIR004,Prawn Biryani,Biryani,370,16,30,23,800,Rice based,NV,500
BIR005,Egg Biryani,Biryani,320,13,28,16,700,Rice based,NV,250
BIR006,Fish Biryani,Biryani,390,19,34,18,820,Rice based,NV,450
BIR007,Hyderabadi Biryani,Biryani,460,24,40,20,940,Rice based,NV,500
BIR008,Veg Kofta Biryani,Biryani,320,15,35,10,680,Rice based,V,250
BIR009,Keema Biryani,Biryani,520,28,42,24,1000,Rice based,NV,450
BIR010,Paneer Biryani,Biryani,350,12,30,20,700,Rice based,V,300
BIR011,Soya Chunks Biryani,Biryani,340,14,32,18,750,Rice based,V,250
BIR012,Mushroom Biryani,Biryani,310,13,30,16,670,Rice based,V,300
BIR013,Beef Biryani,Biryani,450,22,40,22,900,Rice based,NV,400
BIR014,Veg Dum Biryani,Biryani,290,12,35,12,670,Rice based,V,200
BIR015,Andhra Biryani,Biryani,410,20,38,18,820,Rice based,NV,500
BUR001,Mohinga,Burmese,120,2.5,22,6,300,Seafood based,NV,150
BUR002,Khao Suey,Burmese,280,20,16,10,450,Coconut milk based,V,250
BUR003,Ohn No Khao Swè,Burmese,320,22,23,12,550,Coconut milk based,NV,280
BUR004,Htamane,Burmese,200,8,28,4,400,Rice based,V,100
BUR005,Laphet Thoke,Burmese,70,2,13,2,150,Salad based,V,150
BUR006,Kaung Lar Hin,Burmese,400,30,15,20,800,Meat based,NV,350
BUR007,Kyarzan Chet,Burmese,270,15,25,12,450,Meat based,NV,280
BUR008,Pork Curry,Burmese,350,25,15,18,600,Meat based,NV,300
BUR009,Tohu Thoke,Burmese,80,2,15,3,250,Salad based,V,150
BUR010,Pork Sausage,Burmese,180,15,5,9,300,Meat based,NV,180
BUR011,Shan Noodles,Burmese,320,15,35,14,650,Wheat based,NV,250
BUR012,Khao Piek Sen,Burmese,400,20,35,20,700,Wheat based,NV,200
BUR013,Mandalay Noodle Soup,Burmese,300,10,45,15,600,Wheat based,NV,220
BUR014,Coconut Rice,Burmese,250,12,30,4,400,Rice based,V,120
BUR015,Myanmar Curry,Burmese,320,20,25,15,500,Meat based,NV,300
DS001,Har Gow,Dim Sum,50,1.5,7,2,100,Seafood based,NV,100
DS002,Siu Mai,Dim Sum,60,2,8,3,150,Meat based,NV,120
DS003,Xiaolongbao,Dim Sum,80,3.5,10,4,200,Meat based,NV,150
DS004,Fengzhua,Dim Sum,40,1.5,6,1,80,Chicken based,NV,80
DS005,Char Siu Bao,Dim Sum,150,4,25,4,300,Pork based,NV,150
DS006,Cheong Fun,Dim Sum,80,2,15,2,150,Rice based,V,100
DS007,Zongzi,Dim Sum,180,10,15,8,300,Rice based,NV,180
DS008,Changfen,Dim Sum,100,3,20,3,200,Rice based,V,120
DS009,Shumai,Dim Sum,60,3,5,3,100,Pork based,NV,120
DS010,Lo Mai Gai,Dim Sum,200,8,25,6,350,Chicken based,NV,150
DS011,Turnip cake,Dim Sum,150,6,20,3,200,Vegetable based,V,100
DS012,Xiāngjūn jiǎo,Dim Sum,90,2.5,12,4,250,Meat based,NV,120
DS013,Haam Seui Gok,Dim Sum,200,10,25,8,350,Pork based,NV,150
DS014,Wu Gok,Dim Sum,100,4,15,4,200,Taro based,V,80
DS015,Pepper dumplings,Dim Sum,50,1,8,2,150,Vegetable based,V,80
KL001,Appam,Kerala,120,1,24,3,250,Rice based,V,20
KL002,Puttu,Kerala,150,2,30,5,300,Rice based,V,25
KL003,Kerala Parotta,Kerala,250,10,35,6,350,Wheat based,V,30
KL004,Kadala Curry,Kerala,150,8,10,5,200,Legume based,V,40
KL005,Sambar,Kerala,80,3,12,3,150,Vegetable based,V,30
KL006,Thoran,Kerala,80,4,10,3,200,Vegetable based,V,30
KL007,Malabar Biriyani,Kerala,400,15,50,15,500,Rice based,NV,150
KL008,Kerala Fish Curry,Kerala,200,10,15,15,300,Seafood based,NV,120
KL009,Kerala Beef Fry,Kerala,300,20,10,25,400,Meat based,NV,180
KL010,Kerala Prawn Roast,Kerala,250,15,20,20,300,Seafood based,NV,150
KL011,Kappa and Fish Curry,Kerala,350,20,25,20,400,Seafood based,NV,120
KL012,Unniyappam,Kerala,150,5,25,2,100,Fruits,V,10
KL013,Palada Payasam,Kerala,200,8,25,5,150,Milk based,V,30
KL014,Ari Unda,Kerala,100,2,20,2,50,Fruits,V,5
KL015,Avial,Kerala,150,8,15,5,200,Vegetable based,V,40
CG001,Grilled Chicken,Charcoal Grill,165,3.6,0,31,77,Meat based,NV,150
CG002,Grilled Beef Steak,Charcoal Grill,250,18,0,22,50,Meat based,NV,300
CG003,Grilled Fish,Charcoal Grill,120,2,0,26,50,Seafood based,NV,200
CG004,Grilled Vegetable Skewers,Charcoal Grill,80,5,8,2,10,Vegetable based,V,100
CG005,Grilled Tofu,Charcoal Grill,140,8,2,15,20,Legume based,V,150
CG006,Grilled Pineapple,Charcoal Grill,50,0.4,13,0.5,1,Fruits,V,50
CG007,Grilled Corn on the Cob,Charcoal Grill,100,1,22,4,13,Vegetable based,V,50
CG008,Grilled Shrimp Skewers,Charcoal Grill,120,1.8,1,23,87,Seafood based,NV,250
CG009,Grilled Lamb Chops,Charcoal Grill,280,23,0,19,60,Meat based,NV,400
CG010,Grilled Portobello Mushrooms,Charcoal Grill,25,0.5,5,2,10,Vegetable based,V,80
CG011,Grilled Octopus,Charcoal Grill,160,2,0,34,84,Seafood based,NV,300
CG012,Grilled Halloumi Cheese,Charcoal Grill,300,25,2,20,700,Milk based,V,200
CG013,Grilled Pork Ribs,Charcoal Grill,400,30,0,30,150,Meat based,NV,350
CG014,Grilled Eggplant,Charcoal Grill,50,2,7,1,2,Vegetable based,V,80
CG015,Grilled Sausages,Charcoal Grill,250,20,0,15,900,Meat based,NV,200
MG001,Chicken Biryani,Mughlai,315,12,45,12,120,Rice based,NV,250
MG002,Mutton Korma,Mughlai,300,23,5,20,150,Meat based,NV,300
MG003,Butter Chicken,Mughlai,300,15,9,22,700,Meat based,NV,350
MG004,Shahi Paneer,Mughlai,260,19,8,9,500,Milk based,V,200
MG005,Chicken Kebab,Mughlai,170,6,0,28,70,Meat based,NV,200
MG006,Keema Matar,Mughlai,250,15,6,20,300,Meat based,NV,250
MG007,Chana Masala,Mughlai,150,6,18,6,300,Legume based,V,150
MG008,Mutton Biryani,Mughlai,340,15,45,15,130,Rice based,NV,300
MG009,Malai Kofta,Mughlai,260,18,15,8,400,Vegetable based,V,200
MG010,Tandoori Chicken,Mughlai,230,11,1,29,600,Meat based,NV,250
MG011,Dal Makhani,Mughlai,160,8,15,6,250,Legume based,V,150
MG012,Rogan Josh,Mughlai,330,24,5,20,800,Meat based,NV,350
MG013,Palak Paneer,Mughlai,220,16,7,12,500,Milk based,V,200
MG014,Chicken Curry,Mughlai,240,12,6,28,450,Meat based,NV,250
MG015,Sheer Khurma,Mughlai,200,10,25,5,150,Milk based,V,150
ID001,Nasi Goreng,Indonesian,310,12,38,9,900,Rice based,NV,150
ID002,Gado-Gado,Indonesian,150,9,11,5,100,Salad based,V,100
ID003,Ayam Goreng,Indonesian,240,16,1,23,290,Meat based,NV,200
ID004,Sate Ayam,Indonesian,230,15,3,21,650,Meat based,NV,150
ID005,Bakso,Indonesian,230,14,15,14,800,Meat based,NV,100
ID006,Rendang,Indonesian,330,23,7,23,800,Meat based,NV,250
ID007,Soto Ayam,Indonesian,150,7,6,15,700,Meat based,NV,150
ID008,Perkedel,Indonesian,170,7,22,4,450,Vegetable based,V,50
ID009,Tahu Isi,Indonesian,160,10,12,5,300,Vegetable based,V,50
ID010,Mie Goreng,Indonesian,290,12,37,10,1000,Wheat based,NV,150
ID011,Lumpia,Indonesian,170,9,18,5,300,Vegetable based,V,100
ID012,Rawon,Indonesian,180,8,16,15,600,Meat based,NV,150
ID013,Sate Kambing,Indonesian,270,17,2,23,450,Meat based,NV,200
ID014,Sambal Goreng Kentang,Indonesian,170,8,20,3,600,Vegetable based,V,50
ID015,Martabak,Indonesian,400,22,38,15,800,Wheat based,NV,100
BF001,Chicken Wings,Bar Food,290,18,1,29,810,Meat based,NV,300
BF002,Loaded Nachos,Bar Food,420,23,42,11,1050,Wheat based,V,400
BF003,Beer Battered Fish and Chips,Bar Food,450,20,50,20,950,Sea food based,NV,500
BF004,Buffalo Cauliflower Bites,Bar Food,200,12,23,3,800,Vegetable based,V,250
BF005,Fried Calamari,Bar Food,350,20,25,18,550,Sea food based,NV,350
BF006,Onion Rings,Bar Food,310,15,40,3,830,Vegetable based,V,200
BF007,Cheeseburger Sliders,Bar Food,280,15,19,16,550,Meat based,NV,350
BF008,Loaded Tater Tots,Bar Food,350,20,30,7,800,Vegetable based,V,300
BF009,Beef Quesadilla,Bar Food,380,18,28,26,720,Wheat based,NV,450
BF010,Soft Pretzel with Beer Cheese,Bar Food,310,15,30,10,680,Wheat based,V,200
BF011,Grilled Cheese Sandwich,Bar Food,330,16,33,15,810,Wheat based,V,250
BF012,Spinach and Artichoke Dip,Bar Food,290,17,16,13,660,Vegetable based,V,300
BF013,Potato Skins,Bar Food,320,16,29,15,750,Vegetable based,V,350
BF014,Bruschetta,Bar Food,200,9,24,5,350,Wheat based,V,200
BF015,Pulled Pork Sliders,Bar Food,330,15,28,19,570,Meat based,NV,400
AM001,Buffalo Wings,American,430,27,6,41,1540,Meat based,NV,450
AM002,Burger and Fries,American,700,39,57,31,980,Meat based,NV,500
AM003,Mac and Cheese,American,310,15,31,13,660,Wheat based,V,350
AM004,Club Sandwich,American,690,40,47,33,1650,Wheat based,NV,450
AM005,Chicken Tenders,American,280,17,14,17,780,Meat based,NV,300
AM006,Grilled Cheese Sandwich,American,330,16,33,15,810,Wheat based,V,250
AM007,Caesar Salad,American,220,19,7,6,320,Salad based,V,350
AM008,French Fries,American,312,15,41,3,414,Vegetable based,V,150
AM009,Chili Dog,American,320,20,19,14,840,Meat based,NV,300
AM010,Baked Potato,American,170,0.2,38,4,20,Vegetable based,V,150
AM011,Shrimp and Grits,American,400,22,27,22,880,Sea food based,NV,450
AM012,Reuben Sandwich,American,900,51,48,51,2460,Wheat based,NV,600
AM013,Philly Cheesesteak,American,530,30,40,29,1200,Meat based,NV,500
AM014,Corn on the Cob,American,86,1.2,19,3,20,Vegetable based,V,100
AM015,Hot Dog,American,150,13,1,6,310,Meat based,NV,150
ST001,Rib Eye Steak,Steak,300,24,0,21,70,Meat based,NV,700
ST002,Filet Mignon,Steak,290,20,0,26,55,Meat based,NV,800
ST003,T-Bone Steak,Steak,290,23,0,21,70,Meat based,NV,850
ST004,New York Strip,Steak,320,23,0,27,55,Meat based,NV,750
ST005,Porterhouse Steak,Steak,350,27,0,25,65,Meat based,NV,900
ST006,Prime Rib,Steak,450,38,0,27,170,Meat based,NV,1000
ST007,Sirloin Steak,Steak,260,16,0,28,70,Meat based,NV,650
ST008,Skirt Steak,Steak,290,23,0,20,65,Meat based,NV,700
ST009,Flank Steak,Steak,250,17,0,23,75,Meat based,NV,650
ST010,Hanger Steak,Steak,250,14,0,27,55,Meat based,NV,700
ST011,Filet of Sirloin,Steak,230,10,0,34,85,Meat based,NV,750
ST012,Chopped Steak,Steak,220,12,0,27,70,Meat based,NV,500
ST013,Beef Stroganoff,Steak,250,14,6,19,50,Meat based,NV,550
ST014,Beef Kabobs,Steak,230,13,2,27,60,Meat based,NV,650
ST015,Beef Fajitas,Steak,220,8,9,29,35,Meat based,NV,600
AS001,Pad Thai,Asian,330,12,50,10,600,Rice based,NV,250
AS002,Pho,Asian,300,5,54,20,800,Rice based,NV,300
AS003,Beef and Broccoli Stir-Fry,Asian,180,9,14,12,600,Wheat based,NV,350
AS004,General Tso's Chicken,Asian,350,18,32,20,1000,Wheat based,NV,400
AS005,Sushi Roll,Asian,250,8,38,6,300,Seafood based,NV,500
